"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Semana 43","Semana 44","Semana 45","Semana 46","Semana 47","Semana 48","Semana 49","Semana 50","Semana 51","Semana 52","Total"
"510760 Rondonópolis",9,16,10,17,14,34,34,35,57,9,20,15,10,18,8,19,30,19,16,17,19,9,10,11,2,10,8,6,3,0,3,8,3,6,7,3,4,3,2,1,1,4,0,1,0,2,1,3,13,10,21,20,601
"510770 Rosário Oeste",0,0,1,0,0,0,0,1,0,1,0,0,2,1,5,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"510774 Santa Cruz do Xingu",0,1,0,1,2,3,0,2,3,0,0,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"510775 Salto do Céu",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"510776 Santa Rita do Trivelato",0,1,0,0,1,1,3,5,9,0,2,1,0,3,5,3,14,5,2,3,1,5,18,6,10,9,33,18,8,2,3,0,0,3,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,181
"510724 Santa Carmem",0,1,0,2,1,0,1,1,1,1,1,0,1,1,7,3,2,5,7,5,5,7,4,3,1,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,3,10,30,117
"510726 Santo Afonso",0,0,0,0,0,1,1,1,0,6,21,10,2,5,1,5,2,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"510777 Santa Terezinha",0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
"510779 Santo Antônio do Leste",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"510780 Santo Antônio do Leverger",0,1,2,2,1,1,0,12,8,3,5,3,0,0,6,0,7,9,7,2,2,2,0,0,1,3,2,2,1,1,0,3,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92
