"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"510629 Paranaíta",0,0,5,3,8,2,11,5,10,2,5,4,1,4,4,12,6,6,3,1,1,6,4,1,0,0,3,5,1,1,2,2,1,1,0,0,1,4,1,0,0,0,126
"510630 Paranatinga",1,4,4,1,2,4,5,6,6,6,5,2,2,2,4,5,2,4,4,2,11,10,10,7,5,6,5,3,1,7,0,1,3,5,10,2,2,5,0,0,0,0,164
"510631 Novo Santo Antônio",0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"510637 Pedra Preta",0,2,5,2,4,4,6,3,3,2,2,0,0,0,3,1,2,1,2,2,3,1,1,0,3,0,0,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,58
"510642 Peixoto de Azevedo",0,1,3,3,5,3,5,4,4,4,4,2,3,3,1,1,7,12,11,15,29,22,22,13,10,16,7,2,4,0,4,3,2,0,0,0,0,0,0,0,0,0,225
"510645 Planalto da Serra",0,1,1,0,0,0,0,3,12,0,2,5,4,6,1,1,0,0,0,0,3,1,2,4,2,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,55
"510650 Poconé",12,28,39,19,5,8,26,20,19,6,13,2,3,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,208
"510665 Pontal do Araguaia",0,1,0,2,3,0,1,2,1,0,1,1,0,1,0,1,0,1,1,0,1,1,3,2,1,1,1,0,0,2,1,0,0,0,0,1,3,5,2,3,2,1,46
"510670 Ponte Branca",0,1,0,1,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"510675 Pontes e Lacerda",12,32,77,82,101,54,76,41,37,21,32,35,26,29,22,28,21,18,28,43,27,20,24,14,10,11,4,8,2,8,8,3,3,3,7,5,4,3,3,3,3,0,988
